Province,Sex,Age group,Population
Prince Edward Island,Females,80+,4372
Nova Scotia,Both sexes,80+,47016
Nova Scotia,Males,80+,18548
Nova Scotia,Females,80+,28468
New Brunswick,Both sexes,80+,38361
New Brunswick,Males,80+,15257
New Brunswick,Females,80+,23104
Quebec,Both sexes,80+,408444
Quebec,Males,80+,161973
Quebec,Females,80+,246471
Ontario,Both sexes,80+,655835
Ontario,Males,80+,263801
Ontario,Females,80+,392034
Manitoba,Both sexes,80+,55355
Manitoba,Males,80+,21819
Manitoba,Females,80+,33536
Saskatchewan,Both sexes,80+,50511
Saskatchewan,Males,80+,19926
Saskatchewan,Females,80+,30585
Alberta,Both sexes,80+,140267
Alberta,Males,80+,57548
Alberta,Females,80+,82719
British Columbia,Both sexes,80+,236341
British Columbia,Males,80+,101070
British Columbia,Females,80+,135271
Yukon,Both sexes,80+,832
Yukon,Males,80+,411
Yukon,Females,80+,421
Northwest Territories,Both sexes,80+,506
Northwest Territories,Males,80+,269
Northwest Territories,Females,80+,237
Nunavut,Both sexes,80+,179
Nunavut,Males,80+,96
Nunavut,Females,80+,83
